sentiment,stemmed_tokens
1,"['virginamerica', 'come', 'back', 'to', 'phl', 'alreadi', 'we', 'need', 'you', 'to', 'take', 'us', 'out', 'of', 'thi', 'horribl', 'cold', 'pleasecomeback', 'http', 'co', 'glxfwp', 'nqh']"
1,"['virginamerica', 'is', 'the', 'best', 'airlin', 'have', 'flown', 'on', 'easi', 'to', 'chang', 'your', 'reserv', 'help', 'repres', 'amp', 'comfort', 'fli', 'experi']"
1,"['virginamerica', 'and', 'again', 'anoth', 'rep', 'kick', 'butt', 'naelah', 'repres', 'your', 'team', 'so', 'beauti', 'thank', 'you']"
1,"['virginamerica', 'your', 'beauti', 'front', 'end', 'design', 'is', 'down', 'right', 'now', 'but', 'it', 'wa', 'cool', 'to', 'still', 'book', 'my', 'ticket', 'all', 'your', 'back', 'end', 'wa', 'secur']"
1,"['virginamerica', 'love', 'the', 'team', 'run', 'gate', 'at', 'la', 'tonight', 'wait', 'for', 'delay', 'flight', 'and', 'they', 'kept', 'thing', 'entertain']"
1,"['virginamerica', 'thank', 'to', 'your', 'outstand', 'nyc', 'jfk', 'crew', 'who', 'move', 'mountain', 'to', 'get', 'me', 'home', 'to', 'san', 'francisco', 'tonight']"
1,"['virginamerica', 'you', 'have', 'the', 'absolut', 'best', 'team', 'and', 'custom', 'servic', 'ever', 'everi', 'time', 'fli', 'with', 'you', 'delight', 'thank', 'you']"
1,"['virginamerica', 'complet', 'awesom', 'experi', 'last', 'month', 'bo', 'la', 'nonstop', 'thank', 'for', 'such', 'an', 'awesom', 'flight', 'and', 'depart', 'time', 'vabeatsjblu']"
1,"['virginamerica', 'you', 'rock', 'for', 'make', 'it', 'so', 'can', 'watch', 'oscar', 'on', 'my', 'flight', 'redcarpet', 'oscar', 'oscar']"
1,"['virginamerica', 'alway', 'xoxo']"
1,"['virginamerica', 'best', 'custom', 'servic', 'rep', 'in', 'the', 'world', 'irmafromdalla', 'take', 'the', 'cake']"
1,"['virginamerica', 'you', 'have', 'amaz', 'staff', 'amp', 'super', 'help', 'as', 'just', 'ran', 'the', 'waltdisneyworld', 'princesshalf', 'they', 'have', 'spoil', 'me', 'with', 'comfort']"
1,"['alway', 'have', 'it', 'togeth', 'you', 're', 'welcom', 'rt', 'virginamerica', 'jessicajaym', 'you', 're', 'so', 'welcom']"
1,"['virginamerica', 'flight', 'home', 'to', 'dc', 'sunset', 'globe', 'in', 'backtowint', 'back', 'to', 'work', 'refresh', 'http', 'co', 'vx', 'vbctdlf']"
1,"['virginamerica', 'thank', 'you', 'for', 'check', 'in', 'ticket', 'are', 'purchas', 'and', 'custom', 'is', 'happi']"
1,"['virginamerica', 'thank', 'you', 'for', 'the', 'follow']"
1,"['rt', 'virginamerica', 'you', 've', 'met', 'your', 'match', 'got', 'statu', 'on', 'anoth', 'airlin', 'upgrad', 'restr', 'http', 'co', 'rhkamx', 'vf', 'http', 'co', 'pyalebgkjt']"
1,"['virginamerica', 'onli', 'way', 'to', 'fli', 'elev', 'gold']"
1,"['virginamerica', 'you', 'will', 'match', 'my', 'statu', 'cool']"
1,"['virginamerica', 'thank']"
1,"['virginamerica', 'love', 'your', 'guy', 'song', 'we', 're', 'danc', 'to', 'it', 'for', 'our', 'high', 'school', 'danc', 'revu']"
1,"['virginamerica', 'done', 'thank', 'you', 'for', 'the', 'quick', 'respons', 'appar', 'faster', 'than', 'sit', 'on', 'hold']"
1,"['virginamerica', 'cool', 'pictur', 'of', 'anoth', 'virginamerica', 'plane', 'off', 'our', 'wing', 'what', 'site', 'http', 'co', 'agfd']"
1,"['virginamerica', 'keep', 'up', 'the', 'great', 'work']"
1,"['virginamerica', 'my', 'good', 'your', 'peopl', 'love', 'field', 'are', 'amaz', 'under', 'pressur', 'from', 'texa', 'beatstheoth', 'in', 'crisi', 'pleas', 'fli', 'me', 'to', 'ny']"
1,"['virginamerica', 'thank', 'for', 'great', 'flight', 'from', 'la', 'to', 'boston', 'pilot', 'did', 'great', 'job', 'land', 'in', 'the', 'snow', 'can', 'we', 'go', 'back', 'to', 'la', 'now', 'serious']"
1,"['virginamerica', 'thank', 'so', 'much', 'for', 'the', 'awesom', 'support', 'you', 'guy', 'rock']"
1,"['virginamerica', 'twitter', 'team', 'you', 'guy', 'kill', 'it', 'for', 'reschedul', 'me', 'asap', 'thank', 'you']"
1,"['virginamerica', 'when', 'are', 'you', 'put', 'some', 'great', 'deal', 'from', 'pdx', 'to', 'la', 'or', 'from', 'la', 'to', 'pdx', 'show', 'me', 'your', 'love', 'http', 'co', 'eniqg', 'buzj']"
1,"['virginamerica', 'wish', 'can', 'afford', 'to', 'fli', 'with', 'you', 'next', 'friday', 'go', 'back', 'home', 'love', 'everyth', 'about', 'your', 'airlin']"
1,"['virginamerica', 'like', 'http', 'co', 'vpqem', 'xuq']"
1,"['virginamerica', 'you', 'have', 'the', 'best', 'flight', 'attend', 'ever', 'http', 'co', 'pxdel', 'nq']"
1,"['awesom', 'rt', 'virginamerica', 'watch', 'nomin', 'film', 'at', 'feet', 'meetthefleet', 'oscar', 'http', 'co', 'dnstitrzwi']"
1,"['virginamerica', 'thank', 'so', 'much']"
1,"['virginamerica', 'the', 'onli', 'airlin', 'base', 'in', 'silicon', 'valley', 'disrupt', 'incub', 'fastcompani', 'http', 'co', 'wu', 'lbcncr']"
1,"['virginamerica', 'veri', 'nice', 'done']"
1,"['virginamerica', 'look', 'forward', 'to', 'watch', 'the', 'oscar', 'on', 'my', 'flight', 'home', 'tomorrow', 'might', 'even', 'get', 'someth', 'bubbl', 'to', 'drink']"
1,"['virginamerica', 'hahaha', 'virginamerica', 'you', 'guy', 'are', 'amaz', 'love', 'you', 'guy']"
1,"['virginamerica', 'sound', 'like', 'fun']"
1,"['virginamerica', 'classiq', 'luv', 'virgin', 'america', 'greetingz']"
1,"['virginamerica', 'thank', 'for', 'your', 'great', 'custom', 'servic', 'today', 'amp', 'for', 'help', 'me', 'get', 'all', 'my', 'travel', 'sort', 'out']"
1,"['virginamerica', 'thank', 'guy', 'sweet', 'rout', 'over', 'the', 'rocki']"
1,"['virginamerica', 'love', 'the', 'music', 'blast', 'at', 'gate', 'in', 'boston', 'while', 'wait', 'for', 'flight', 'to', 'sanfrancisco', 'onli', 'if', 'could', 'get', 'an', 'ice', 'coffe']"
1,"['virginamerica', 'thank', 'you', 'for', 'the', 'easi', 'itinerari', 'shift', 'for', 'impend', 'weather', 'quick', 'painless', 'amp', 'free']"
1,"['virginamerica', 'thank', 'good', 'time', 'there', 'and', 'back', 'vodkaton', 'the', 'entir', 'flight', 'sfo']"
1,"['virginamerica', 'you', 're', 'do', 'great', 'job', 'ad', 'littl', 'luxuri', 'aesthet', 'that', 'improv', 'the', 'air', 'travel', 'experi', 'thank', 'you', 'keep', 'it', 'up']"
1,"['virginamerica', 'thank', 'for', 'gate', 'check', 'my', 'baggag', 'on', 'your', 'full', 'flight', 'dfw', 'lax', 'and', 'give', 'me', 'earli', 'board', 'too', 'sweet']"
1,"['virginamerica', 'see', 'what', 'you', 'did', 'there']"
1,"['virginamerica', 'your', 'inflight', 'team', 'make', 'the', 'experi', 'amaz']"
1,"['virginamerica', 'cutest', 'salt', 'and', 'pepper', 'shaker', 'ever', 'just', 'when', 'think', 'you', 'guy', 'can', 'get', 'ani', 'better', 'you', 'just', 'do', 'http', 'co', 'vc', 'keulg']"
1,"['virginamerica', 'fav', 'airlin']"
1,"['virginamerica', 'we', 'have', 'hot', 'femal', 'pilot', 'sweet', 'dca', 'to', 'sfo']"
1,"['virginamerica', 'thank', 'you']"
1,"['virginamerica', 'would', 'love', 'to', 'do', 'more', 'for', 'virgin', 'just', 'like', 'do', 'for', 'gopro']"
1,"['virginamerica', 'love', 'it', 'can', 'wait', 'for', 'monday', 'return', 'flight', 'mostli', 'just', 'to', 'watch', 'the', 'inflight', 'safeti', 'video', 'again', 'sorrynotsorri']"
1,"['virginamerica', 'hi', 'just', 'want', 'to', 'see', 'if', 'you', 'have', 'ani', 'new', 'rout', 'plan', 'thi', 'year', 'for', 'newark', 'love', 'fli', 'you', 'guy', 'and', 'hope', 'to', 'do', 'so', 'more']"
1,"['virginamerica', 'mean', 'probabl', 'inappropri', 'while', 'on', 'board', 'but', 'it', 'on']"
1,"['virginamerica', 'happi', 'to', 'spend', 'the', 'day', 'togeth', 'let', 'do', 'thi']"
1,"['virginamerica', 'they', 'were', 'veri', 'understand', 'and', 'help', 'me', 'out', 'thx', 'comp']"
1,"['virginamerica', 'thank', 'you', 'absolut', 'will']"
1,"['virginamerica', 'how', 'about', 'some', 'free', 'drink', 'on', 'the', 'flight', 'back', 'for', 'the', 'free', 'promo']"
1,"['virginamerica', 'ssal', 'thank']"
1,"['virginamerica', 'thank']"
1,"['virginamerica', 'thank', 'for', 'take', 'care', 'of', 'suuperg', 'on', 'her', 'flight', 'rockstar', 'travel']"
1,"['virginamerica', 'thank', 'for', 'the', 'love', 'soft', 'view', 'travel', 'san', 'to', 'sfo', 'http', 'co', 'cnctl', 'ef']"
1,"['virginamerica', 'ador', 'you', 'and', 'am', 'so', 'look', 'forward', 'to', 'my', 'flight', 'to', 'austin', 'in', 'two', 'week']"
1,"['virginamerica', 'wa', 'so', 'glad', 'it', 'wa', 'mention', 'took', 'my', 'first', 'virgin', 'flight', 'few', 'year', 'back', 'and', 'it', 'wa', 'transform', 'experi']"
1,"['virginamerica', 'first', 'time', 'fli', 'virgin', 'went', 'to', 'sanfrancisco', 'thank', 'for', 'the', 'smooth', 'ride', 'easili', 'my', 'new', 'fav', 'airlin']"
1,"['virginamerica', 'just', 'promot', 'the', 'product', 'is', 'all', 'had', 'problem', 'with', 'southwest', 'and', 'recommend', 'noneoth', 'than', 'the', 'best', 'http', 'co', 'tfanxbh', 'cf']"
1,"['virginamerica', 'love', 'you', 'guy', 'but', 'pl', 'get', 'some', 'direct', 'rout', 'la', 'to', 'au']"
1,"['virginamerica', 'of', 'cours', 'work', 'for', 'virginatlant', 'and', 'obsess', 'with', 'the', 'entir', 'virgin', 'famili']"
1,"['virginamerica', 'ok', 'first', 'time', 'fli', 'with', 'you', 'tonight']"
1,"['virginamerica', 'got', 'it', 'squar', 'away', 'someon', 'pick', 'up', 'as', 'soon', 'as', 'tweet', 'should', 'have', 'tweet', 'sooner']"
1,"['virginamerica', 'karinsle', 'of', 'cours', 'have', 'fun', 'celebr', 'thank', 'happi', 'chines', 'new', 'year']"
1,"['virginamerica', 'flight', 'book', 'problem', 'last', 'second', 'flight', 'for', 'next', 'week', 'from', 'sfo', 'to', 'san', 'ani', 'chanc', 'you', 'want', 'to', 'gift', 'me', 'promo', 'code', 'sinc', 'love', 'you', 'guy']"
1,"['virginamerica', 'for', 'my', 'grandma', 'ella', 'th', 'she', 'would', 'lt', 'bday', 'greet', 'from', 'your', 'flight', 'crew', 'she', 'wa', 'stewardess', 'for', 'eastern', 'airlin']"
1,"['virginamerica', 'just', 'bought', 'tix', 'for', 'atx', 'dalla', 'rout', 'thank', 'for', 'ad', 'that', 'love', 'yr', 'airlin', 'amp', 'yr', 'websit', 'is', 'best', 'transact', 'site', 'ever']"
1,"['virginamerica', 'gave', 'credit', 'for', 'my', 'late', 'flight', 'flight', 'yesterday', 'great', 'servic', 'that', 'wow', 'moment', 'unexpect', 'gestur']"
1,"['virginamerica', 'had', 'me', 'at', 'their', 'safeti', 'video', 'http', 'co', 'cqmm', 'nue', 'love', 'my', 'first', 'cross', 'countri', 'flight', 'sytycd']"
1,"['virginamerica', 'that', 'doesn', 'look', 'to', 'fat', 'to', 'me', 'it', 'look', 'yummi']"
1,"['virginamerica', 'omg', 'omg', 'nonstop', 'dalla', 'to', 'austin', 'on', 'virgin']"
1,"['virginamerica', 'your', 'plane', 'are', 'realli', 'pretti', 'just', 'thought', 'should', 'know', 'that']"
1,"['virginamerica', 'thank', 'you']"
1,"['virginamerica', 'good', 'to', 'be', 'home', 'texa', 'moodlight', 'http', 'co', 'bvzti', 'zi']"
1,"['virginamerica', 'thank', 'for', 'that', 'been', 'need', 'way', 'to', 'make', 'those', 'austin', 'trip', 'from', 'dca', 'and', 'now', 'you', 've', 'come', 'through']"
1,"['virginamerica', 'thi', 'is', 'too', 'cool', 'never', 'been', 'on', 'ur', 'plane', 'but', 'now', 'will']"
1,"['virginamerica', 'great', 'well', 'deserv']"
1,"['virginamerica', 'got', 'it', 'all', 'set', 'thank']"
1,"['virginamerica', 'giant', 'and', 'virgin', 'america', 'match', 'made', 'in', 'heaven']"
1,"['virginamerica', 'thank', 'good', 'also', 'see', 'you', 'friday', 'nwk', 'gt', 'sf', 'boom']"
1,"['virginamerica', 'luv', 'ur', 'peopl', 'and', 'product', 'thing', 'is', 'do', 'charg', 'for', 'herbal', 'tea', 'but', 'not', 'black', 'tea', 'not', 'caffein', 'drinker']"
1,"['virginamerica', 'thank', 'you', 'see', 'all', 'soon', 'excit', 'to', 'see', 'the', 'expans', 'of', 'destin', 'spread', 'those', 'wing']"
1,"['virginamerica', 'ha', 'the', 'most', 'incred', 'custom', 'servic', 've', 'ever', 'experienc', 'so', 'refresh']"
1,"['virginamerica', 'am', 'dream', 'did', 'you', 'realli', 'just', 'open', 'up', 'rout', 'between', 'dalla', 'and', 'austin', 'and', 'doe', 'thi', 'mean', 'houston', 'might', 'be', 'next']"
1,"['virginamerica', 'omg', 'final']"
1,"['virginamerica', 'thankyou', 'the', 'dal', 'au', 'rout', 'make', 'my', 'day']"
1,"['virginamerica', 'awesom', 'deal', 'dal', 'au', 'for', 'onli', 'each', 'way', 'http', 'co', 'xcvqxykg']"
1,"['virginamerica', 'love', 'it', 'take', 'southwestair', 'on', 'in', 'their', 'backyard', 'consum', 'win', 'when', 'biz', 'compet']"
1,"['virginamerica', 'is', 'fli', 'from', 'love', 'to', 'austin', 'now', 'that', 'is', 'most', 'excel', 'news']"
1,"['virginamerica', 'congrat', 'vx', 'on', 'the', 'new', 'rout']"
1,"['virginamerica', 'am', 'all', 'about', 'the', 'in', 'flight', 'artisan', 'chees', 'and', 'wine', 'pair']"
1,"['virginamerica', 'that', 'classi']"
1,"['virginamerica', 'sure', 'lot', 'of', 'your', 'and', 'jfk', 'lhr', 'flight', 'go', 'lot', 'faster', 'than', 'mph', 'with', 'strong', 'tailwind']"
1,"['virginamerica', 'now', 'it', 'just', 'minu', 'minut', 'until', 'my', 'elev', 'silver', 'upgrad', 'window', 'open', 'freeneversuck']"
1,"['virginamerica', 'jezziegoldz', 'would', 'have', 'been', 'rough', 'trip', 'but', 'luckili', 'we', 'were', 'on', 'virginamerica', 'flight', 'weather']"
1,"['virginamerica', 'anoth', 'perfect', 'flight', 'how', 'come', 'on', 'your', 'plane', 'the', 'sun', 'visor', 'can', 'stay', 'down', 'other', 'carrier', 'make', 'you', 'rais', 'them']"
1,"['nice', 'rt', 'virginamerica', 'the', 'man', 'of', 'steel', 'might', 'be', 'faster', 'but', 'we', 'have', 'wifi', 'just', 'say', 'http', 'co', 'fgrbpazsix']"
1,"['virginamerica', 'love', 'the', 'danc', 'littl', 'richard', 'cool', 'bean']"
1,"['virginamerica', 'don', 'use', 'passbook', 'still', 'love', 'you', 'though', 'lt', 'll', 'just', 'use', 'my', 'email', 'in', 'the', 'futur']"
1,"['virginamerica', 'thank', 'for', 'the', 'free', 'birthday', 'point', 'all', 'are', 'all', 'right', 'with', 'me']"
1,"['virginamerica', 'thank', 'so', 'much', 'for', 'share', 'just', 'ad', 'it', 'to', 'my', 'site', 'http', 'co', 'tsvibtvt']"
1,"['virginamerica', 'dad', 'on', 'segway', 'is', 'the', 'best', 'part', 'of', 'thi', 'whole', 'infograph']"
1,"['virginamerica', 'are', 'there', 'ani', 'plan', 'for', 'short', 'haul', 'airlin', 'in', 'europ', 'would', 'defiantli', 'fli', 'with', 'you', 'guy']"
1,"['virginamerica', 'wifi', 'and', 'better', 'seat']"
1,"['virginamerica', 'not', 'onli', 'wa', 'it', 'great', 'but', 'you', 'return', 'my', 'call', 'the', 'day', 'after', 'couldn', 'ask', 'for', 'more', 'myvxexperi']"
1,"['virginamerica', 'so', 'loyal', 'that', 'drive', 'to', 'nyc', 'from', 'pa', 'to', 'fli', 'virgin', 'sinc', 'you', 'cut', 'philli', 'flight']"
1,"['virginamerica', 'you', 'guy', 'are', 'perfect', 'as', 'alway', 'lt', 'wervirgin']"
1,"['virginamerica', 'thank', 'all', 'have', 'some', 'of', 'the', 'best', 'custom', 'servic', 'left', 'in', 'the', 'industri']"
1,"['virginamerica', 'realli', 'wish', 'you', 'fli', 'out', 'of', 'fargo', 'fargoairport', 'those', 'fare', 'are', 'amaz']"
1,"['virginamerica', 'just', 'got', 'on', 'the', 'pm', 'in', 'newark', 'home', 'to', 'la', 'your', 'folk', 'at', 'ewr', 'are', 'incred', 'letsgohom']"
1,"['virginamerica', 'fli', 'lax', 'to', 'sfo', 'and', 'after', 'look', 'at', 'the', 'awesom', 'movi', 'lineup', 'actual', 'wish', 'wa', 'on', 'long', 'haul']"
1,"['unit', 'thank']"
1,"['unit', 'thank', 'for', 'take', 'care', 'of', 'that', 'mr', 'happi', 'custom']"
1,"['unit', 'thank', 'we', 'fill', 'it', 'out', 'how', 'our', 'luck', 'with', 'thi', 'is', 'it', 'common']"
1,"['unit', 'thank']"
1,"['unit', 'thank', 'it', 'is', 'on', 'the', 'same', 'ticket']"
1,"['unit', 'follow', 'me', 'pleas', 'thi', 'airlin', 'is', 'beautiful']"
1,"['unit', 'just', 'want', 'to', 'let', 'you', 'know', 'how', 'wonder', 'rosetta', 'the', 'gate', 'agent', 'wa', 'work', 'flight', 'dan', 'to', 'ase', 'let', 'her', 'know', 'she', 'wasappreci']"
1,"['unit', 'thank', 'for', 'your', 'help', 'got', 'me', 'what', 'need', 'but', 'it', 'an', 'issu', 'with', 'guess', 'sit', 'awhil', 'longer']"
1,"['unit', 'airport', 'snow', 'remov', 'method', 'keep', 'up', 'the', 'good', 'work', 'folk', 'thi', 'is', 'where', 'cessna', 'becom', 'http', 'co', 'tmusjvu']"
1,"['unit', 'thank', 'you', 'for', 'that', 'am', 'abl', 'to', 'claim', 'ani', 'interim', 'expens', 'or', 'is', 'the', 'cost', 'of', 'the', 'stuff', 'up', 'on', 'me']"
1,"['unit', 'flew', 'unit', 'last', 'month', 'and', 'the', 'experi', 'wa', 'awesom']"
1,"['unit', 'which', 'also', 'had', 'work', 'wc', 'in', 'coach', 'good', 'thing', 'thi', 'bird', 'land', 'ahead', 'of', 'schedul', 'have', 'to', 'use', 'the', 'wc', 'stat']"
1,"['unit', 'for', 'the', 'record', 'rozana', 'at', 'newark', 'wa', 'love', 'and', 'help', 'choosekind']"
1,"['unit', 'thx', 'for', 'updat']"
1,"['unit', 'despit', 'my', 'bag', 'not', 'make', 'it', 'to', 'newark', 'good', 'inform', 'email', 'track', 'updat', 'help']"
1,"['unit', 'wow', 'what', 'deal', 'again', 'plu', 'seat', 'avail', 'easi', 'chang', 'to', 'make', 'custom', 'happi']"
1,"['unit', 'privat', 'jet', 'would', 'have', 'been', 'cool', 'do', 'doe', 'not', 'work', 'll', 'tri', 'again']"
1,"['unit', 'thank', 'just', 'sent']"
1,"['unit', 'ha', 'unrival', 'access', 'to', 'california', 'with', 'flight', 'to', 'the', 'from', 'uk', 'airport', 'with', 'nonstop', 'or', 'one', 'stop', 'connect', 'year', 'round']"
1,"['unit', 'thnx', 'for', 'the', 'info']"
1,"['unit', 'kudo', 'for', 'not', 'cancel', 'flightl', 'flight', 'from', 'dfw', 'thi', 'morn', 'unit', 'usual', 'first', 'to', 'panic']"
1,"['unit', 'anoth', 'awesom', 'new', 'plane', 'flight', 'and', 'extrem', 'nice', 'captain', 'steve', 'connolli']"
1,"['unit', 'everi', 'unit', 'flight', 'between', 'saipan', 'and', 'guam', 'is', 'an', 'adventur', 'you', 'never', 'know', 'when', 'capeair', 'old', 'plane', 'will', 'be', 'oper']"
1,"['unit', 'thank', 'you', 'for', 'the', 'chees', 'platter', 'and', 'abund', 'of', 'entertain', 'option', 'time', 'just', 'flew', 'by']"
1,"['unit', 'thank', 'you', 'been', 'tri', 'for', 'two', 'day', 'to', 'set', 'thi', 'up']"
1,"['unit', 'definit', 'compliment', 'realli', 'thought', 'my', 'bag', 'wa', 'lost', 'after', 'it', 'wa', 'sent', 'on', 'to', 'anoth', 'airport', 'in', 'the', 'end', 'am', 'happi', 'custom']"
1,"['unit', 'thanx', 'so', 'much', 'you', 'follow', 'through', 'and', 'email', 'me', 'ticket', 'voucher', 'unitedairlin', 'they', 'do', 'care']"
1,"['unit', 'thi', 'will', 'definit', 'be', 'trip', 'to', 'rememb', 'ewr', 'sti', 'second', 'of', 'the', 'season', 'first', 'on', 'seat', 'becaus', 'it', 'pay', 'to', 'be', 'loyal']"
1,"['unit', 'you', 'are', 'one', 'great', 'airlin']"
1,"['unit', 'melaniespr', 'we', 'll', 'see', 'what', 'we', 'can', 'do', 'kn', 'we', 'are', 'run', 'most', 'of', 'thi', 'plane', 'is', 'run', 'thank', 'for', 'the', 'help']"
1,"['unit', 'we', 'just', 'flew', 'with', 'unit', 'from', 'au', 'austin', 'bergstrom', 'to', 'cancun', 'intl', 'best', 'flight', 'ever', 'the', 'are', 'not', 'too', 'big', 'not', 'too', 'small']"
1,"['unit', 'flight', 'ua', 'gate', 'and', 'tell', 'ray', 'somehow', 'made', 'it', 'on', 'to', 'the', 'flight', 'out', 'of', 'iah', 'and', 'didn', 'have', 'to', 'wait', 'for', 'the', 'one']"
1,"['unit', 'but', 'thank', 'for', 'ask']"
1,"['unit', 'you', 'too']"
1,"['unit', 'is', 'my', 'favorit', 'airlin']"
1,"['unit', 'man', 'can', 'wait', 'to', 'book', 'my', 'ticket', 'now', 'thank', 'jp', 'you', 're', 'life', 'sabe']"
1,"['unit', 'you', 'guy', 'continu', 'to', 'impress', 'me', 'in', 'houston', 'http', 'co', 'cih', 'qnllcm']"
1,"['unit', 'made', 'the', 'upgrad', 'list', 'will', 'fli', 'st', 'tomorrow', 'for', 'min', 'for', 'the', 'first', 'time', 'ever', 'http', 'co', 'atfrkp', 'goy']"
1,"['unit', 'not', 'just', 'refund', 'but', 'for', 'those', 'of', 'us', 'who', 'are', 'on', 'vacat', 'to', 'get', 'free', 'room', 'night', 'to', 'make', 'up', 'for', 'make', 'us', 'sleep', 'in', 'dia']"
1,"['unit', 'thank', 'for', 'the', 'remind', 'it', 'been', 'fun', 'ride', 'http', 'co', 'ppva', 'rch']"
1,"['unit', 'terrif', 'mani', 'thank', 'look', 'forward', 'to', 'be', 'back', 'on', 'ua', 'tomorrow', 'had', 'great', 'flight', 'up', 'to', 'vancouv']"
1,"['unit', 'appreci', 'your', 'effort', 'get', 'me', 'home']"
1,"['unit', 'despit', 'shaki', 'connect', 'look', 'like', 'll', 'get', 'home', 'tonight', 'great', 'job', 'unit', 'wa', 'touch', 'and', 'go', 'for', 'while']"
1,"['unit', 'thank', 'you']"
1,"['unit', 'thank', 'we', 'll', 'be', 'in', 'touch']"
1,"['unit', 'thank', 'to', 'karen', 'salisburi', 'at', 'iah', 'for', 'amaz', 'custom', 'servic', 'found', 'my', 'daughter', 'bag', 'lost', 'on', 'ua', 'made', 'her', 'day']"
1,"['unit', 'left', 'my', 'comment', 'with', 'custom', 'care', 'thank', 'for', 'contact', 'me']"
